85,20,9,53,81,64,50,64,31,17,98,34,4,17,99,61,45,53,15,82,44,87,18,39,79,18,12,12,13,58,100,13,95,67,44,19,87,37,23,51,53,80,17,9,28,3,52,41,50,57,29,56,12,11,41,51,61,65,88,11,63,47,69,68,1,50,90,3,72,97,76,16,58,19,62,94,64,81,85,51,10,50,81,41,85,63,99,6,2,73,1,81,52,40,65,0,31,16,68,82,15,83,81,87,81,12,93,4,99,98,95,85,10,74,37,89,49,84,17,32,29,29,74,70,38,93,92,87,96,0,72,1,7,90,80,47,92,27,49,71,52,87,51,77,25,99,24,9,95,46,77,60,19,65,68,75,79,34,54,84,86,3,67,26,88,28,54,3,21,83,39,89,66,38,17,38,0,68,28,81,9,8,29,65,49,42,16,57,90,42,22,45,88,90,90,52,79,9,60,69,43,82,34,97,50,2,18,66,49,27,26,61,65,44,73,82,60,77,78,46,51,40,96,55,9,50,72,24,4,45,75,24,4,26,18,7,28,72,23,46,76,26,10,90,42,16,
32,13,71,94,57,43,44,47,98,80,95,50,67,87,18,85,6,72,55,84,16,96,100,30,93,67,81,0,20,18,26,64,21,29,81,76,50,4,35,51,32,25,95,46,82,26,93,65,75,53,72,7,6,32,0,3,87,22,6,35,72,29,64,10,51,1,22,83,87,77,87,0,66,63,63,7,88,83,62,22,80,63,27,53,37,60,95,76,41,88,97,14,83,97,88,66,10,31,14,19,19,13,36,45,31,44,65,28,17,18,60,47,19,66,26,67,49,66,41,97,64,65,23,49,81,41,4,71,6,83,68,9,77,15,29,21,48,97,81,37,3,11,74,33,0,55,65,1,88,98,14,17,63,97,22,49,9,41,88,65,65,73,71,23,87,13,77,59,86,27,15,49,53,27,30,89,53,97,48,5,14,63,1,85,15,17,79,75,25,39,42,26,7,50,31,77,12,100,79,8,65,29,0,12,68,47,47,2,28,45,16,60,42,20,21,2,97,82,37,14,23,87,42,60,65,4,34,18,12,4,24,100,23,75,99,89,93,6,96,39,62,17,34,23,34,68,
82,42,23,6,0,14,2,39,94,3,97,94,16,52,44,71,43,51,98,90,8,13,18,33,39,80,50,32,37,86,64,0,60,52,47,95,33,75,93,26,70,48,9,78,36,63,1,18,85,91,44,91,27,11,40,33,13,51,88,49,50,82,80,23,93,10,95,68,31,42,93,20,16,96,59,70,70,58,82,23,21,68,44,70,85,80,57,83,44,19,84,74,94,72,64,71,67,25,51,76,38,63,88,0,40,50,27,91,44,100,66,55,68,45,100,8,66,52,3,53,72,80,32,1,45,3,0,53,36,62,51,69,83,79,70,41,64,88,58,56,92,82,52,22,87,19,31,87,40,22,4,11,6,72,44,57,7,46,86,80,67,96,51,62,2,67,52,81,82,42,91,31,29,61,71,0,32,68,6,66,81,23,64,46,44,0,70,39,66,12,47,4,3,46,58,100,76,83,24,77,35,13,55,9,63,82,10,84,45,74,42,88,55,67,41,85,79,62,40,83,0,64,30,48,4,86,18,66,27,0,79,29,85,5,41,18,38,70,82,65,40,42,26,4,1,91,
99,4,84,61,21,45,74,44,22,5,58,78,27,74,11,7,47,67,18,64,67,20,16,22,45,7,59,44,4,84,82,16,63,46,61,27,46,29,81,11,84,66,65,23,40,69,2,78,18,67,58,86,39,22,72,68,85,19,65,13,86,39,35,98,86,90,17,55,41,17,60,54,66,41,89,60,1,78,68,88,4,53,7,86,29,94,25,72,82,69,0,73,19,40,10,72,2,98,87,28,59,20,88,37,2,20,68,39,46,94,8,13,59,91,78,24,50,12,67,27,2,32,96,93,1,83,16,97,64,45,31,21,81,8,11,42,10,53,0,65,22,84,65,59,55,46,45,72,99,33,20,60,44,76,46,69,83,55,28,21,52,6,86,23,22,36,81,33,56,41,44,44,19,33,13,55,82,69,22,68,45,65,72,1,26,25,95,37,62,51,13,47,0,41,99,58,66,79,84,93,72,78,73,92,86,69,23,12,100,79,54,34,10,45,2,27,37,88,47,78,74,40,29,13,11,33,34,61,35,61,40,1,72,43,51,75,2,23,37,72,72,32,10,92,53,60,
46,87,23,28,90,81,48,2,29,54,98,25,79,90,58,87,68,10,78,63,38,75,78,75,63,70,83,94,35,91,87,2,30,50,36,5,0,50,49,39,32,14,44,85,79,11,63,18,49,0,75,2,95,49,97,21,70,11,95,67,58,44,45,78,70,8,69,96,40,1,93,45,34,52,93,53,72,48,69,84,96,41,21,62,67,89,10,53,98,85,22,91,58,0,57,49,63,83,94,37,16,79,57,75,2,39,21,81,71,34,49,85,2,31,43,70,77,8,15,60,41,18,35,1,17,9,86,20,43,35,92,38,48,18,81,89,62,39,23,19,37,31,15,60,25,32,100,61,71,96,68,3,49,64,41,10,65,69,87,2,34,47,72,39,94,23,49,95,81,19,4,60,83,63,94,47,68,61,64,22,34,85,44,6,45,15,2,87,37,63,89,13,56,96,23,64,24,38,27,40,0,23,29,87,33,62,98,19,43,96,35,1,70,9,62,20,97,31,72,93,87,71,33,31,34,95,95,55,44,43,36,23,44,10,26,95,7,36,6,63,82,97,28,32,31,7,
68,18,93,99,81,88,81,79,55,95,48,30,28,91,31,59,68,16,16,85,93,34,47,17,81,54,92,51,89,46,45,53,20,40,98,39,0,44,70,8,30,76,63,97,78,74,35,60,69,18,96,59,48,47,82,0,55,42,62,46,35,28,48,30,80,16,84,38,5,14,62,68,43,63,18,21,83,73,27,99,42,16,12,35,23,26,67,8,93,14,84,28,37,52,31,81,50,91,13,96,8,63,6,25,28,84,30,15,40,28,28,18,34,38,6,45,45,68,5,53,39,14,18,67,21,86,40,62,81,57,31,41,72,56,0,61,44,2,5,26,51,85,24,47,42,46,91,63,40,95,2,76,73,77,73,30,68,25,37,75,13,42,30,30,67,41,7,50,65,33,44,41,29,90,13,63,27,79,33,13,88,9,99,30,58,65,25,98,88,58,63,95,14,35,97,10,30,51,63,36,66,14,5,84,67,86,13,82,61,89,83,78,5,52,40,63,65,98,91,73,20,11,20,16,37,84,59,31,99,96,12,65,12,74,39,21,89,4,34,99,22,33,80,79,23,21,
82,99,45,52,15,99,93,12,39,40,71,92,39,0,80,71,74,92,26,84,62,41,95,32,12,6,94,96,67,23,50,26,52,40,78,78,53,28,75,4,97,12,49,85,45,99,94,10,67,29,26,61,9,57,67,71,61,94,19,53,41,87,65,72,41,70,94,97,15,20,63,85,8,55,62,80,49,43,50,98,50,46,59,57,12,4,98,23,91,48,7,73,43,95,0,60,61,94,68,45,92,23,68,46,12,0,60,44,85,38,87,21,36,72,35,80,82,18,53,41,13,45,35,11,77,23,49,77,9,96,12,19,14,30,86,29,83,99,46,67,69,48,53,82,6,38,28,1,19,91,52,65,49,15,7,45,97,84,51,87,15,64,40,33,64,7,77,29,20,23,17,99,100,99,40,4,50,1,40,24,9,14,20,0,35,28,82,26,2,66,14,21,65,92,59,51,9,56,67,2,58,29,78,22,50,25,33,54,76,30,13,35,35,89,81,26,88,60,94,78,39,40,33,97,6,13,26,40,96,62,35,81,95,17,18,32,3,36,10,50,97,53,59,78,28,89,
1,4,83,36,65,76,78,33,51,99,60,66,97,33,50,18,64,50,65,58,68,71,74,95,94,26,78,27,1,59,6,0,21,12,0,65,35,55,40,99,69,99,76,38,7,3,99,97,5,98,61,16,45,98,19,58,21,93,33,19,66,84,48,15,69,98,76,75,7,98,72,88,69,66,99,45,7,66,100,56,83,66,17,11,80,20,50,15,92,70,63,43,64,5,82,82,0,95,7,84,94,45,90,4,34,75,94,58,11,44,76,88,11,27,5,69,38,83,56,1,89,80,39,81,13,23,4,16,59,33,87,9,6,49,34,53,52,53,72,9,81,13,4,9,98,69,44,81,59,89,77,86,61,75,40,21,12,59,42,10,76,2,79,45,53,61,44,96,14,4,29,92,23,83,60,93,44,25,32,81,23,73,65,13,92,12,69,18,33,20,37,34,9,15,3,76,72,10,28,28,22,89,21,41,33,6,26,24,31,84,99,80,79,27,91,29,37,9,7,47,54,19,7,6,88,23,95,87,100,61,82,56,82,80,17,10,19,25,59,43,22,62,16,90,4,10,
74,38,71,55,72,69,98,11,95,25,83,59,35,16,37,83,8,51,80,78,46,76,51,6,99,47,22,56,23,3,93,31,95,30,56,96,60,82,99,43,5,46,60,19,7,8,64,19,53,50,70,52,91,36,91,2,1,82,54,37,33,30,55,53,4,19,27,64,80,30,92,78,95,24,5,57,45,36,90,76,26,96,17,6,93,72,19,17,19,55,97,48,10,37,94,35,54,32,99,3,71,25,36,95,19,39,59,68,67,43,50,52,47,7,6,34,98,70,72,3,86,23,44,41,68,6,52,3,82,21,39,42,52,38,98,48,94,51,13,62,50,13,6,52,26,64,49,26,0,96,65,88,54,26,70,22,13,16,39,62,13,92,48,34,97,67,78,52,39,27,44,87,59,36,34,38,67,2,33,78,88,70,88,33,47,29,6,99,49,66,97,31,55,79,69,81,81,35,56,86,64,46,73,82,41,36,60,45,0,23,24,90,39,47,26,49,2,16,55,37,13,1,96,35,94,28,67,26,43,73,45,25,63,48,21,67,6,45,38,84,61,11,10,36,47,30,
76,37,25,61,50,79,5,4,41,66,93,100,68,21,87,78,64,62,75,8,93,76,59,78,35,73,96,93,80,6,1,92,72,66,45,32,58,5,90,70,69,67,59,42,25,14,29,71,27,49,93,67,63,7,35,5,58,73,37,0,12,97,36,57,95,72,87,20,12,73,22,75,85,51,94,8,54,63,75,81,35,30,30,39,69,13,93,21,30,35,42,98,55,35,29,33,54,53,0,28,69,5,41,92,18,48,80,53,63,36,56,38,78,41,71,70,90,67,6,65,46,18,7,22,8,2,0,29,85,21,3,2,35,55,92,58,69,18,91,38,4,36,77,38,63,19,68,96,4,53,100,89,79,8,42,62,5,76,71,68,82,89,0,25,89,53,19,38,53,61,61,57,53,2,51,43,80,6,70,64,9,23,4,5,4,99,63,16,47,93,76,24,79,83,43,74,66,16,30,32,55,78,65,15,82,68,100,31,93,30,3,97,54,36,13,85,24,3,30,40,58,66,41,40,34,86,82,98,35,91,77,89,10,42,93,39,13,92,5,11,78,74,1,41,21,67,
